Date,Hour,Hourly rainfall value,DateTime
2024-04-15,0,0,2024-04-15 00:00:00
2024-04-15,1,0,2024-04-15 01:00:00
2024-04-15,2,0,2024-04-15 02:00:00
2024-04-15,3,0,2024-04-15 03:00:00
2024-04-15,4,0,2024-04-15 04:00:00
2024-04-15,5,0,2024-04-15 05:00:00
2024-04-15,6,0,2024-04-15 06:00:00
2024-04-15,7,0,2024-04-15 07:00:00
2024-04-15,8,0,2024-04-15 08:00:00
2024-04-15,9,0,2024-04-15 09:00:00
2024-04-15,10,0,2024-04-15 10:00:00
2024-04-15,11,0,2024-04-15 11:00:00
2024-04-15,12,0,2024-04-15 12:00:00
2024-04-15,13,0,2024-04-15 13:00:00
2024-04-15,14,0,2024-04-15 14:00:00
2024-04-15,15,0,2024-04-15 15:00:00
2024-04-15,16,0,2024-04-15 16:00:00
2024-04-15,17,0,2024-04-15 17:00:00
2024-04-15,18,0,2024-04-15 18:00:00
2024-04-15,19,0,2024-04-15 19:00:00
2024-04-15,20,0,2024-04-15 20:00:00
2024-04-15,21,0,2024-04-15 21:00:00
2024-04-15,22,0,2024-04-15 22:00:00
2024-04-15,23,0,2024-04-15 23:00:00
2024-04-16,0,0,2024-04-16 00:00:00
2024-04-16,1,0,2024-04-16 01:00:00
2024-04-16,2,0,2024-04-16 02:00:00
2024-04-16,3,0,2024-04-16 03:00:00
2024-04-16,4,0,2024-04-16 04:00:00
2024-04-16,5,0,2024-04-16 05:00:00
2024-04-16,6,0,2024-04-16 06:00:00
2024-04-16,7,0,2024-04-16 07:00:00
2024-04-16,8,0,2024-04-16 08:00:00
2024-04-16,9,0,2024-04-16 09:00:00
2024-04-16,10,0,2024-04-16 10:00:00
2024-04-16,11,0,2024-04-16 11:00:00
2024-04-16,12,0,2024-04-16 12:00:00
2024-04-16,13,0,2024-04-16 13:00:00
2024-04-16,14,0,2024-04-16 14:00:00
2024-04-16,15,0,2024-04-16 15:00:00
2024-04-16,16,0,2024-04-16 16:00:00
2024-04-16,17,0,2024-04-16 17:00:00
2024-04-16,18,0,2024-04-16 18:00:00
2024-04-16,19,0,2024-04-16 19:00:00
2024-04-16,20,0,2024-04-16 20:00:00
2024-04-16,21,0,2024-04-16 21:00:00
2024-04-16,22,1.6,2024-04-16 22:00:00
2024-04-16,23,0,2024-04-16 23:00:00
2024-04-17,0,0,2024-04-17 00:00:00
2024-04-17,1,0,2024-04-17 01:00:00
2024-04-17,2,0,2024-04-17 02:00:00
2024-04-17,3,0,2024-04-17 03:00:00
2024-04-17,4,0,2024-04-17 04:00:00
