Full_date,Hour,waterLevel,Full_datetime
15/4/2024,0,0.228,15/4/2024 00:00
15/4/2024,1,0.223,15/4/2024 01:00
15/4/2024,2,0.212,15/4/2024 02:00
15/4/2024,3,0.209,15/4/2024 03:00
15/4/2024,4,0.208,15/4/2024 04:00
15/4/2024,5,0.206,15/4/2024 05:00
15/4/2024,6,0.203,15/4/2024 06:00
15/4/2024,7,0.203,15/4/2024 07:00
15/4/2024,8,0.296,15/4/2024 08:00
15/4/2024,9,0.282,15/4/2024 09:00
15/4/2024,10,0.228,15/4/2024 10:00
15/4/2024,11,0.22,15/4/2024 11:00
15/4/2024,12,0.216,15/4/2024 12:00
15/4/2024,13,0.214,15/4/2024 13:00
15/4/2024,14,0.216,15/4/2024 14:00
15/4/2024,15,0.272,15/4/2024 15:00
15/4/2024,16,0.383,15/4/2024 16:00
15/4/2024,17,0.384,15/4/2024 17:00
15/4/2024,18,0.383,15/4/2024 18:00
15/4/2024,19,0.383,15/4/2024 19:00
15/4/2024,20,0.382,15/4/2024 20:00
15/4/2024,21,0.381,15/4/2024 21:00
15/4/2024,22,0.383,15/4/2024 22:00
15/4/2024,23,0.382,15/4/2024 23:00
16/4/2024,0,0.384,16/4/2024 00:00
16/4/2024,1,0.383,16/4/2024 01:00
16/4/2024,2,0.384,16/4/2024 02:00
16/4/2024,3,0.382,16/4/2024 03:00
16/4/2024,4,0.336,16/4/2024 04:00
16/4/2024,5,0.331,16/4/2024 05:00
16/4/2024,6,0.334,16/4/2024 06:00
16/4/2024,7,0.334,16/4/2024 07:00
16/4/2024,8,0.332,16/4/2024 08:00
16/4/2024,9,0.329,16/4/2024 09:00
16/4/2024,10,0.33,16/4/2024 10:00
16/4/2024,11,0.33,16/4/2024 11:00
16/4/2024,12,0.33,16/4/2024 12:00
16/4/2024,13,0.328,16/4/2024 13:00
16/4/2024,14,0.33,16/4/2024 14:00
16/4/2024,15,0.33,16/4/2024 15:00
16/4/2024,16,0.314,16/4/2024 16:00
16/4/2024,17,0.312,16/4/2024 17:00
16/4/2024,18,0.317,16/4/2024 18:00
16/4/2024,19,0.318,16/4/2024 19:00
16/4/2024,20,0.317,16/4/2024 20:00
16/4/2024,21,0.314,16/4/2024 21:00
16/4/2024,22,0.314,16/4/2024 22:00
16/4/2024,23,0.32,16/4/2024 23:00
17/4/2024,0,0.329,17/4/2024 00:00
17/4/2024,1,0.327,17/4/2024 01:00
17/4/2024,2,0.318,17/4/2024 02:00
17/4/2024,3,0.316,17/4/2024 03:00
17/4/2024,4,0.322,17/4/2024 04:00
17/4/2024,5,0.38,17/4/2024 05:00
17/4/2024,6,0.363,17/4/2024 06:00
17/4/2024,7,0.333,17/4/2024 07:00
17/4/2024,8,0.368,17/4/2024 08:00
17/4/2024,9,0.336,17/4/2024 09:00
17/4/2024,10,0.322,17/4/2024 10:00
17/4/2024,11,0.32,17/4/2024 11:00
17/4/2024,12,0.32,17/4/2024 12:00
17/4/2024,13,0.313,17/4/2024 13:00
17/4/2024,14,0.255,17/4/2024 14:00
17/4/2024,15,0.231,17/4/2024 15:00
17/4/2024,16,0.222,17/4/2024 16:00
17/4/2024,17,0.215,17/4/2024 17:00
17/4/2024,18,0.214,17/4/2024 18:00
17/4/2024,19,0.213,17/4/2024 19:00
17/4/2024,20,0.212,17/4/2024 20:00
