Full_date,Hour,waterLevel,Full_datetime
28/9/2024,0,1.046,28/9/2024 00:00
28/9/2024,1,1.101,28/9/2024 01:00
28/9/2024,2,1.18,28/9/2024 02:00
28/9/2024,3,1.295,28/9/2024 03:00
28/9/2024,4,1.366,28/9/2024 04:00
28/9/2024,5,1.416,28/9/2024 05:00
28/9/2024,6,1.378,28/9/2024 06:00
28/9/2024,7,1.275,28/9/2024 07:00
28/9/2024,8,1.184,28/9/2024 08:00
28/9/2024,9,1.138,28/9/2024 09:00
28/9/2024,10,1.134,28/9/2024 10:00
28/9/2024,11,1.149,28/9/2024 11:00
28/9/2024,12,1.106,28/9/2024 12:00
28/9/2024,13,1.044,28/9/2024 13:00
28/9/2024,14,1.02,28/9/2024 14:00
28/9/2024,15,1.006,28/9/2024 15:00
28/9/2024,16,0.977,28/9/2024 16:00
28/9/2024,17,0.965,28/9/2024 17:00
28/9/2024,18,0.948,28/9/2024 18:00
28/9/2024,19,0.937,28/9/2024 19:00
28/9/2024,20,0.927,28/9/2024 20:00
28/9/2024,21,0.918,28/9/2024 21:00
28/9/2024,22,0.908,28/9/2024 22:00
28/9/2024,23,0.9,28/9/2024 23:00
